,date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
17,2017-12-20 14:40:45,ResiliencyLLC,CAL_FIRE,0,0,0,#ThomasFire INCIDENT STATUS REPORT from CAL FIRE @CAL_FIRE #Wildfires #CaliforniaWildfires #California #CaliforniaFires #SoCal #SoCalFires #VenturaCounty #VenturaCountyFire #VenturaFire #SantaBarbaraCounty #SantaAnaWinds,,@CAL_FIRE,#ThomasFire #Wildfires #CaliforniaWildfires #California #CaliforniaFires #SoCal #SoCalFires #VenturaCounty #VenturaCountyFire #VenturaFire #SantaBarbaraCounty #SantaAnaWinds,943491366222475264,https://twitter.com/ResiliencyLLC/status/943491366222475264
18,2017-12-20 13:38:14,ResiliencyLLC,CAL_FIRE,0,0,0,#ThomasFire INCIDENT STATUS REPORT from CAL FIRE @CAL_FIRE #Wildfires #CaliforniaWildfires #California #CaliforniaFires #SoCal #SoCalFires #VenturaCounty #VenturaCountyFire #VenturaFire #SantaBarbaraCounty #SantaAnaWinds,,@CAL_FIRE,#ThomasFire #Wildfires #CaliforniaWildfires #California #CaliforniaFires #SoCal #SoCalFires #VenturaCounty #VenturaCountyFire #VenturaFire #SantaBarbaraCounty #SantaAnaWinds,943475632247361536,https://twitter.com/ResiliencyLLC/status/943475632247361536
19,2017-12-20 02:11:02,countyofsb,,0,15,13,#ThomasFire updated stats from @CAL_FIRE #805strong,,@CAL_FIRE,#ThomasFire #805strong,943302694176940032,https://twitter.com/countyofsb/status/943302694176940032
20,2017-12-18 17:58:50,fema,,7,165,185,"If you or your loved ones live near the #ThomasFire in California, important information on evacuations, mask distribution sites, &amp; shelters can be found here: https://www.countyofsb.org/thomasfire.sbc#update (Santa Barbara County) and here: http://readyventuracounty.org (Ventura County).",,,#ThomasFire,942816440306061312,https://twitter.com/fema/status/942816440306061312
21,2017-12-18 06:39:30,barkflight,,0,0,1,"If you want to see how real the #ThomasFire is, watch this video from @CAL_FIRE (via @ktla Instagram) https://www.instagram.com/p/Bc1B7xCFpPR/",,@CAL_FIRE @KTLA,#ThomasFire,942645480529391618,https://twitter.com/barkflight/status/942645480529391618
22,2017-12-18 04:28:03,SLOTribune,,1,8,14,"#ThomasFire: Some good news today from Cal Fire: “Today was one of our most productive days we’ve had."" Read more: http://www.tribne.ws/2jbNi1e",,,#ThomasFire,942612398950768641,https://twitter.com/SLOTribune/status/942612398950768641
23,2017-12-17 19:10:45,ResiliencyLLC,CAL_FIRE,0,0,0,#ThomasFire INCIDENT STATUS REPORT from CAL FIRE @CAL_FIRE #Wildfires #CaliforniaWildfires #California #CaliforniaFires #SoCal #SoCalFires #VenturaCounty #VenturaCountyFire #VenturaFire #SantaBarbaraCounty #SantaAnaWinds,,@CAL_FIRE,#ThomasFire #Wildfires #CaliforniaWildfires #California #CaliforniaFires #SoCal #SoCalFires #VenturaCounty #VenturaCountyFire #VenturaFire #SantaBarbaraCounty #SantaAnaWinds,942472148702191619,https://twitter.com/ResiliencyLLC/status/942472148702191619
24,2017-12-17 17:03:56,DirectRelief,,1,7,8,"#ThomasFire continues to grow as strong, shifting winds bring new dangers - via @latimes @melissaetehad @LATvives http://www.latimes.com/local/lanow/la-me-thomas-fire-ledeall-20171217-story.html #SantaBarbara",,@latimes @melissaetehad @LATvives,#ThomasFire #SantaBarbara,942440236700880897,https://twitter.com/DirectRelief/status/942440236700880897
25,2017-12-16 23:27:10,DirectRelief,,2,6,8,California's #ThomasFire now bigger than New York City ,,,#ThomasFire,942174290354597888,https://twitter.com/DirectRelief/status/942174290354597888
26,2017-12-16 20:00:15,DirectRelief,,0,6,8,#ThomasFire map updated with latest evacuation zones for #santabarbara,,,#ThomasFire #santabarbara,942122221253865473,https://twitter.com/DirectRelief/status/942122221253865473
27,2017-12-16 02:43:33,countyofsb,,1,6,6,Quick #ThomasFire update from @CAL_FIRE. Link to PDF at http://ow.ly/TfS730hgjVk #SantaBarbaraCounty #SantaBarbara,,@CAL_FIRE,#ThomasFire #SantaBarbaraCounty #SantaBarbara,941861325646499841,https://twitter.com/countyofsb/status/941861325646499841
28,2017-12-16 00:35:06,146AirliftWing,,3,31,70,"Even now as the sun begins to set, #MAFFS gets a call for support from @CAL_FIRE. Hoping to put a dent in containment of #ThomasFire. #KeepingCaliforniaSafe",,@CAL_FIRE,#MAFFS #ThomasFire #KeepingCaliforniaSafe,941828998207643648,https://twitter.com/146AirliftWing/status/941828998207643648
29,2017-12-15 19:06:20,DirectRelief,,0,1,4,"Smoke and ash from the #ThomasFire linger thick in the Santa Ynez air, miles from the front lines of the blaze. (Photos by Donnie Hedden for Direct Relief) ",,,#ThomasFire,941746262935724032,https://twitter.com/DirectRelief/status/941746262935724032
30,2017-12-15 17:51:12,DirectRelief,,1,10,12,"As firefighters continue to battle California’s #ThomasFire — now the fourth-largest in state history — a group of scientists presented new results suggesting that air pollution from such massive blazes may be one of their deadliest consequences."" https://www.washingtonpost.com/news/energy-environment/wp/2017/12/15/smoke-from-wildfires-may-be-surprisingly-deadly-scientists-report/?utm_term=.0c59780047d4",,,#ThomasFire,941727355503968256,https://twitter.com/DirectRelief/status/941727355503968256
31,2017-12-15 00:36:02,FirehouseNews,,0,10,7,A #firefighter from Cal Fire/San Diego died battling the #ThomasFire this morning http://firehouse.com/12386897 #LODD,,,#firefighter #ThomasFire #LODD,941466846330544129,https://twitter.com/FirehouseNews/status/941466846330544129
32,2017-12-15 00:33:03,CNNLADavid,,0,0,3,"Cory Iverson, 32, killed today while battling the #ThomasFire, was a Fire Apparatus Engineer from @CAL_FIRE’s San Diego unit. Iverson is survived by his wife and two-year-old daughter; another daughter is due in the spring. Bless his family and his memory.",,@CAL_FIRE,#ThomasFire,941466095067611136,https://twitter.com/CNNLADavid/status/941466095067611136
33,2017-12-15 00:26:56,KTVU,,19,43,74,Firefighter killed while fighting #ThomasFire in Ventura Co identified as 32 year old Cory Iverson from Cal Fire San Diego. He leaves behind his pregnant wife and their 2-year-old daughter. ,,,#ThomasFire,941464557804953600,https://twitter.com/KTVU/status/941464557804953600
34,2017-12-14 23:06:58,KrisAnkarlo,,2,8,7,Engines from Cal Fire San Diego arriving. A procession is planned back to Ventura County Medical Examiners office for the firefighter who died today. #ThomasFire ,,,#ThomasFire,941444432620003328,https://twitter.com/KrisAnkarlo/status/941444432620003328
35,2017-12-14 22:26:34,VCFD,CAL_FIRE,13,122,224,#VCFD is devastated by the loss of a fellow firefighter from @CAL_FIRE San Diego unit assigned to #ThomasFire. Extending our prayers and condolences to our @CAL_FIRE family.,,@CAL_FIRE @CAL_FIRE,#VCFD #ThomasFire,941434265673146368,https://twitter.com/VCFD/status/941434265673146368
36,2017-12-14 21:53:35,HosaiNasir,,0,2,1,My heartfelt prayers go out to the fallen #hero #firefighter #battling the #ThomasFire from @CAL_FIRE #HosaiNasir #CaliforniaWildfires #NaturalDisaster #hope #faith #healing #loss #patience,,@CAL_FIRE,#hero #firefighter #battling #ThomasFire #HosaiNasir #CaliforniaWildfires #NaturalDisaster #hope #faith #healing #loss #patience,941425962872291329,https://twitter.com/HosaiNasir/status/941425962872291329
37,2017-12-14 21:40:46,DirectRelief,,0,1,1,"Smoke Blankets Santa Barbara County, Not Everyone Can Evacuate @SBNC805 #ThomasFire https://n.pr/2CgUIIG via @NPR",,@SBNC805 @NPR,#ThomasFire,941422741328084993,https://twitter.com/DirectRelief/status/941422741328084993
38,2017-12-14 21:10:42,KPCC,,0,6,2,An engineer from Cal Fire's San Diego unit has died while assisting with the #ThomasFire. Officials say they will release more information as soon as possible. http://bit.ly/2Bq7kQm,,,#ThomasFire,941415170823385089,https://twitter.com/KPCC/status/941415170823385089
39,2017-12-14 20:56:03,MalibuSAR,,0,4,12,Very sad news from the front lines of the #ThomasFire An engineer #firefighter from @CAL_FIRE was killed while battling the fire. Our thoughts and prayers are with his loved ones and #fire family. #BrushFire #Ventura #SantaBarbara #cawildfires,,@CAL_FIRE,#ThomasFire #firefighter #fire #BrushFire #Ventura #SantaBarbara #cawildfires,941411486940872704,https://twitter.com/MalibuSAR/status/941411486940872704
40,2017-12-14 19:42:57,fema,,2,55,83,Fire crews from near & far are responding to the 240k+ acre #ThomasFire burning in Ventura &amp; Santa Barbara Counties in CA. Damage assessments for wildfires in the state are scheduled to start tomorrow to help determine if additional federal assistance may be needed. : @inciweb,,@inciweb,#ThomasFire,941393089008209922,https://twitter.com/fema/status/941393089008209922
41,2017-12-14 18:33:09,DirectRelief,,0,1,4,"N95 masks are being distributed free of charge to those residents and businesses impacted by the #ThomasFire. For a list of distribution sites in Ventura County, visit the following link: http://readyventuracounty.org/.",,,#ThomasFire,941375524588290048,https://twitter.com/DirectRelief/status/941375524588290048
42,2017-12-14 02:28:05,CFavuzzi,CAL_FIRE,0,1,0,"#ThomasFire UPDATE from @CAL_FIRE reports acreage as 238,500. @KSBY",,@CAL_FIRE @KSBY,#ThomasFire,941132655449423872,https://twitter.com/CFavuzzi/status/941132655449423872
